행정구역(구동)별(1),행정구역(구동)별(2),연령별(1),2018,2019,2020,,,
권선구,세류2동,0∼4세,646,558,513,3304,2958,2746
권선구,세류2동,5∼9세,728,659,618,,,
권선구,세류2동,10∼14세,819,725,705,,,
권선구,세류2동,15∼19세,1111,1016,910,,,
권선구,세류2동,20∼24세,1693,1542,1483,7922,7314,7177
권선구,세류2동,25∼29세,2196,2084,2111,,,
권선구,세류2동,30∼34세,1974,1809,1833,,,
권선구,세류2동,35∼39세,2059,1879,1750,,,
권선구,세류2동,40∼44세,1777,1715,1730,8598,8221,7968
권선구,세류2동,45∼49세,2199,2090,1988,,,
권선구,세류2동,50∼54세,2289,2191,2131,,,
권선구,세류2동,55∼59세,2333,2225,2119,,,
권선구,세류2동,60∼64세,1894,1952,1980,5333,5572,5765
권선구,세류2동,65∼69세,1181,1280,1380,,,
권선구,세류2동,70∼74 세,878,909,949,,,
권선구,세류2동,75∼79세,699,672,672,,,
권선구,세류2동,80∼84세,407,453,452,,,
권선구,세류2동,85세이상,274,306,332,,,
권선구,세류3동,합계,21407,20157,19309,,,
권선구,세류3동,0∼4세,541,481,402,3139,2778,2488
권선구,세류3동,5∼9세,686,611,549,,,
권선구,세류3동,10∼14세,843,748,708,,,
권선구,세류3동,15∼19세,1069,938,829,,,
권선구,세류3동,20∼24세,1411,1313,1193,6016,5653,5328
권선구,세류3동,25∼29세,1568,1563,1545,,,
권선구,세류3동,30∼34세,1326,1316,1271,,,
권선구,세류3동,35∼39세,1711,1461,1319,,,
권선구,세류3동,40∼44세,1657,1509,1400,7472,6895,6520
권선구,세류3동,45∼49세,1936,1808,1685,,,
권선구,세류3동,50∼54세,1834,1731,1705,,,
권선구,세류3동,55∼59세,2045,1847,1730,,,
권선구,세류3동,60∼64세,1551,1624,1649,4780,4831,4973
권선구,세류3동,65∼69세,1128,1093,1174,,,
권선구,세류3동,70∼74 세,844,860,851,,,
권선구,세류3동,75∼79세,641,619,631,,,
권선구,세류3동,80∼84세,366,390,391,,,
권선구,세류3동,85세이상,250,245,277,,,
권선구,평동,합계,42503,40970,41043,,,
권선구,평동,0∼4세,1780,1632,1534,7610,7030,6753
권선구,평동,5∼9세,1721,1624,1642,,,
권선구,평동,10∼14세,1804,1697,1651,,,
권선구,평동,15∼19세,2305,2077,1926,,,
권선구,평동,20∼24세,3331,3074,2921,12962,12221,12148
권선구,평동,25∼29세,3384,3259,3457,,,
권선구,평동,30∼34세,2983,2802,2790,,,
권선구,평동,35∼39세,3264,3086,2980,,,
권선구,평동,40∼44세,3046,2857,2856,14595,13929,13748
권선구,평동,45∼49세,3676,3374,3314,,,
권선구,평동,50∼54세,4016,3941,3802,,,
권선구,평동,55∼59세,3857,3757,3776,,,
권선구,평동,60∼64세,2639,2881,3142,7336,7790,8394
권선구,평동,65∼69세,1591,1689,1920,,,
권선구,평동,70∼74 세,1187,1219,1264,,,
권선구,평동,75∼79세,881,918,919,,,
권선구,평동,80∼84세,592,592,640,,,
권선구,평동,85세이상,446,491,509,,,
권선구,서둔동,합계,40005,38903,38247,,,
권선구,서둔동,0∼4세,1462,1231,1101,6686,6083,5640
권선구,서둔동,5∼9세,1515,1431,1358,,,
권선구,서둔동,10∼14세,1520,1417,1423,,,
권선구,서둔동,15∼19세,2189,2004,1758,,,
권선구,서둔동,20∼24세,3016,2908,2746,12422,11717,11189
권선구,서둔동,25∼29세,3124,3111,3120,,,
권선구,서둔동,30∼34세,2974,2689,2532,,,
권선구,서둔동,35∼39세,3308,3009,2791,,,
권선구,서둔동,40∼44세,2980,2838,2815,13422,13090,12902
권선구,서둔동,45∼49세,3495,3357,3278,,,
권선구,서둔동,50∼54세,3467,3513,3439,,,
권선구,서둔동,55∼59세,3480,3382,3370,,,
권선구,서둔동,60∼64세,2684,2886,3012,7475,8013,8516
권선구,서둔동,65∼69세,1621,1787,2013,,,
권선구,서둔동,70∼74 세,1229,1282,1331,,,
권선구,서둔동,75∼79세,1013,1050,1083,,,
권선구,서둔동,80∼84세,556,601,643,,,
권선구,서둔동,85세이상,372,407,434,,,
권선구,구운동,합계,25965,25286,24793,,,
권선구,구운동,0∼4세,858,752,657,4133,3791,3517
권선구,구운동,5∼9세,867,814,782,,,
권선구,구운동,10∼14세,1010,958,938,,,
권선구,구운동,15∼19세,1398,1267,1140,,,
권선구,구운동,20∼24세,2010,1921,1813,7866,7465,7206
권선구,구운동,25∼29세,2192,2108,2130,,,
권선구,구운동,30∼34세,1812,1729,1687,,,
권선구,구운동,35∼39세,1852,1707,1576,,,
권선구,구운동,40∼44세,1773,1649,1677,9110,8864,8579
권선구,구운동,45∼49세,2314,2215,2061,,,
권선구,구운동,50∼54세,2500,2471,2408,,,
권선구,구운동,55∼59세,2523,2529,2433,,,
권선구,구운동,60∼64세,1751,1883,2041,4856,5166,5491
권선구,구운동,65∼69세,1055,1129,1250,,,
권선구,구운동,70∼74 세,760,811,854,,,
권선구,구운동,75∼79세,607,600,600,,,
권선구,구운동,80∼84세,415,443,438,,,
권선구,구운동,85세이상,268,300,308,,,
권선구,금곡동,합계,45807,45800,45833,,,
권선구,금곡동,0∼4세,2567,2285,1959,10873,10381,9936
권선구,금곡동,5∼9세,3103,3020,2972,,,
권선구,금곡동,10∼14세,2497,2554,2650,,,
권선구,금곡동,15∼19세,2706,2522,2355,,,
권선구,금곡동,20∼24세,3183,3087,3002,13463,13197,12932
권선구,금곡동,25∼29세,2963,3149,3256,,,
권선구,금곡동,30∼34세,2793,2755,2786,,,
권선구,금곡동,35∼39세,4524,4206,3888,,,
권선구,금곡동,40∼44세,3889,3977,4095,15402,15633,15780
권선구,금곡동,45∼49세,4151,4084,4022,,,
권선구,금곡동,50∼54세,3969,4028,4067,,,
권선구,금곡동,55∼59세,3393,3544,3596,,,
권선구,금곡동,60∼64세,2107,2338,2641,6069,6589,7185
권선구,금곡동,65∼69세,1288,1414,1549,,,
권선구,금곡동,70∼74 세,1028,1091,1154,,,
권선구,금곡동,75∼79세,765,761,788,,,
권선구,금곡동,80∼84세,499,558,564,,,
권선구,금곡동,85세이상,382,427,489,,,
권선구,호매실동,합계,42890,45780,46514,,,
권선구,호매실동,0∼4세,3757,3617,3207,11042,11624,11671
권선구,호매실동,5∼9세,3281,3651,3921,,,
권선구,호매실동,10∼14세,2070,2308,2551,,,
권선구,호매실동,15∼19세,1934,2048,1992,,,
