"죄종별(1)","죄종별(2)","성별(1)",연령별(1),2018,2019,2020,2021
"강력범죄","유사강간","불상",계,14,10,2,5
"강력범죄","강제추행","계",계,17053,17120,15344,13962
"강력범죄","강제추행","남자",계,1406,1489,1310,1248
"강력범죄","강제추행","남자",6세이하,22,20,16,11
"강력범죄","강제추행","남자",12세이하,120,135,102,101
"강력범죄","강제추행","남자",15세이하,83,76,53,58
"강력범죄","강제추행","남자",20세이하,250,239,181,169
"강력범죄","강제추행","남자",30세이하,459,470,478,408
"강력범죄","강제추행","남자",40세이하,188,211,198,212
"강력범죄","강제추행","남자",50세이하,130,178,146,121
"강력범죄","강제추행","남자",60세이하,127,114,80,112
"강력범죄","강제추행","남자",60세초과,26,45,52,55
"강력범죄","강제추행","남자",미상,1,1,4,1
"강력범죄","강제추행","여자",계,15205,15303,13835,12327
"강력범죄","강제추행","여자",6세이하,94,114,100,88
"강력범죄","강제추행","여자",12세이하,702,743,556,601
"강력범죄","강제추행","여자",15세이하,642,562,468,491
"강력범죄","강제추행","여자",20세이하,2904,2784,2273,1926
"강력범죄","강제추행","여자",30세이하,5884,5940,5437,4761
"강력범죄","강제추행","여자",40세이하,1886,2015,1956,1780
"강력범죄","강제추행","여자",50세이하,1465,1449,1380,1167
"강력범죄","강제추행","여자",60세이하,1067,1128,1121,946
"강력범죄","강제추행","여자",60세초과,462,503,526,545
"강력범죄","강제추행","여자",미상,99,65,18,22
"강력범죄","강제추행","불상",계,442,328,199,387
"강력범죄","기타 강간·강제추행등","계",계,356,325,237,238
"강력범죄","기타 강간·강제추행등","남자",계,16,7,6,8
"강력범죄","기타 강간·강제추행등","남자",6세이하,-,-,-,1
"강력범죄","기타 강간·강제추행등","남자",12세이하,7,1,3,2
"강력범죄","기타 강간·강제추행등","남자",15세이하,-,4,1,1
"강력범죄","기타 강간·강제추행등","남자",20세이하,5,1,1,4
"강력범죄","기타 강간·강제추행등","남자",30세이하,1,1,1,-
"강력범죄","기타 강간·강제추행등","남자",40세이하,1,-,-,-
"강력범죄","기타 강간·강제추행등","남자",50세이하,-,-,-,-
"강력범죄","기타 강간·강제추행등","남자",60세이하,2,-,-,-
"강력범죄","기타 강간·강제추행등","남자",60세초과,-,-,-,-
"강력범죄","기타 강간·강제추행등","남자",미상,-,-,-,-
"강력범죄","기타 강간·강제추행등","여자",계,333,313,229,227
"강력범죄","기타 강간·강제추행등","여자",6세이하,-,4,1,2
"강력범죄","기타 강간·강제추행등","여자",12세이하,25,29,14,20
"강력범죄","기타 강간·강제추행등","여자",15세이하,55,50,46,29
"강력범죄","기타 강간·강제추행등","여자",20세이하,94,77,57,48
"강력범죄","기타 강간·강제추행등","여자",30세이하,63,53,38,34
"강력범죄","기타 강간·강제추행등","여자",40세이하,27,30,18,30
"강력범죄","기타 강간·강제추행등","여자",50세이하,29,23,15,23
"강력범죄","기타 강간·강제추행등","여자",60세이하,19,24,17,15
"강력범죄","기타 강간·강제추행등","여자",60세초과,20,23,22,26
"강력범죄","기타 강간·강제추행등","여자",미상,1,-,1,-
"강력범죄","기타 강간·강제추행등","불상",계,7,5,2,3
"절도범죄","소계","계",계,176809,186957,179517,166409
"절도범죄","소계","남자",계,111918,116781,111845,98469
"절도범죄","소계","남자",6세이하,4,3,5,2
"절도범죄","소계","남자",12세이하,741,748,614,605
"절도범죄","소계","남자",15세이하,1887,1953,1566,1420
"절도범죄","소계","남자",20세이하,6140,6201,4875,3678
"절도범죄","소계","남자",30세이하,21231,22274,20604,16876
"절도범죄","소계","남자",40세이하,23295,24140,23732,20888
"절도범죄","소계","남자",50세이하,23690,23861,23112,21343
"절도범죄","소계","남자",60세이하,20625,21538,20969,18196
"절도범죄","소계","남자",60세초과,14212,15971,16291,15396
"절도범죄","소계","남자",미상,93,92,77,65
"절도범죄","소계","여자",계,60681,65481,62573,56647
"절도범죄","소계","여자",6세이하,-,3,-,2
"절도범죄","소계","여자",12세이하,148,159,145,154
"절도범죄","소계","여자",15세이하,407,485,323,320
"절도범죄","소계","여자",20세이하,3095,3102,2249,1826
"절도범죄","소계","여자",30세이하,11172,12240,11551,9740
"절도범죄","소계","여자",40세이하,10366,11294,10786,10093
"절도범죄","소계","여자",50세이하,13445,13509,12987,12346
"절도범죄","소계","여자",60세이하,12996,14113,13832,12266
"절도범죄","소계","여자",60세초과,9033,10537,10680,9823
"절도범죄","소계","여자",미상,19,39,20,77
"절도범죄","소계","불상",계,4210,4695,5099,11293
"폭력범죄","소계","계",계,287611,287913,265768,232661
"폭력범죄","소계","남자",계,162970,157679,148051,124208
"폭력범죄","소계","남자",6세이하,121,164,114,126
"폭력범죄","소계","남자",12세이하,770,832,687,662
"폭력범죄","소계","남자",15세이하,2964,3037,2432,2191
"폭력범죄","소계","남자",20세이하,13455,11869,10248,8173
"폭력범죄","소계","남자",30세이하,31546,31076,29552,24086
"폭력범죄","소계","남자",40세이하,27820,26715,25716,21250
"폭력범죄","소계","남자",50세이하,30935,29478,27380,22526
"폭력범죄","소계","남자",60세이하,33436,31852,29551,24319
"폭력범죄","소계","남자",60세초과,21772,22521,22217,20758
"폭력범죄","소계","남자",미상,151,135,154,117
"폭력범죄","소계","여자",계,95029,98254,89007,78738
"폭력범죄","소계","여자",6세이하,91,96,71,74
"폭력범죄","소계","여자",12세이하,302,366,338,346
"폭력범죄","소계","여자",15세이하,1405,1401,1116,962
"폭력범죄","소계","여자",20세이하,5842,5587,4737,3893
"폭력범죄","소계","여자",30세이하,16051,16231,15067,13364
"폭력범죄","소계","여자",40세이하,18094,19180,16536,14788
"폭력범죄","소계","여자",50세이하,21912,21933,19219,17033
"폭력범죄","소계","여자",60세이하,19862,20526,19099,15785
"폭력범죄","소계","여자",60세초과,11419,12903,12782,12448
"폭력범죄","소계","여자",미상,51,31,42,45
"폭력범죄","소계","불상",계,29612,31980,28710,29715
"폭력범죄","상해","계",계,39766,36858,32904,28453
"폭력범죄","상해","남자",계,22140,19837,17570,14832
"폭력범죄","상해","남자",6세이하,12,16,13,12
"폭력범죄","상해","남자",12세이하,89,85,71,54
"폭력범죄","상해","남자",15세이하,482,458,277,327
"폭력범죄","상해","남자",20세이하,1805,1515,1240,1028
"폭력범죄","상해","남자",30세이하,3789,3520,3144,2664
"폭력범죄","상해","남자",40세이하,3490,3003,2680,2151
"폭력범죄","상해","남자",50세이하,4298,3820,3282,2681
"폭력범죄","상해","남자",60세이하,4824,4258,3883,3142
"폭력범죄","상해","남자",60세초과,3338,3151,2970,2762
"폭력범죄","상해","남자",미상,13,11,10,11
"폭력범죄","상해","여자",계,13222,12289,10762,9268
"폭력범죄","상해","여자",6세이하,9,15,4,10
"폭력범죄","상해","여자",12세이하,22,18,16,20
"폭력범죄","상해","여자",15세이하,129,131,95,90
"폭력범죄","상해","여자",20세이하,777,654,521,482
"폭력범죄","상해","여자",30세이하,1980,1812,1649,1583
"폭력범죄","상해","여자",40세이하,2327,2219,1822,1563
"폭력범죄","상해","여자",50세이하,2979,2592,2206,1831
"폭력범죄","상해","여자",60세이하,2949,2784,2490,1867
"폭력범죄","상해","여자",60세초과,2047,2059,1954,1817
"폭력범죄","상해","여자",미상,3,5,5,5
"폭력범죄","상해","불상",계,4404,4732,4572,4353
"폭력범죄","폭행","계",계,159267,157197,139361,115942
"폭력범죄","폭행","남자",계,85468,81047,72916,57538
"폭력범죄","폭행","남자",6세이하,86,113,83,80
"폭력범죄","폭행","남자",12세이하,506,575,414,403
"폭력범죄","폭행","남자",15세이하,1400,1503,1184,1092
"폭력범죄","폭행","남자",20세이하,8773,7528,6323,4713
"폭력범죄","폭행","남자",30세이하,18851,18396,16709,12635
"폭력범죄","폭행","남자",40세이하,13322,12500,11655,9122
"폭력범죄","폭행","남자",50세이하,15078,13919,12363,9663
"폭력범죄","폭행","남자",60세이하,17074,16021,14151,10894
"폭력범죄","폭행","남자",60세초과,10315,10437,9982,8888
"폭력범죄","폭행","남자",미상,63,55,52,48
"폭력범죄","폭행","여자",계,52297,53043,46089,39334
"폭력범죄","폭행","여자",6세이하,52,52,43,36
"폭력범죄","폭행","여자",12세이하,148,190,184,164
"폭력범죄","폭행","여자",15세이하,758,761,575,486
